GEO.id,GEO.id2,GEO.display-label,GCT_STUB.target-geo-id,GCT_STUB.target-geo-id2,GCT_STUB.display-label,GCT_STUB.display-label,HD01,HD02,SUBHD0301,SUBHD0302,SUBHD0303,SUBHD0401,SUBHD0402
Id,Id2,Geography,Target Geo Id,Target Geo Id2,Geographic area,Geographic area,Population,Housing units,Area in square miles - Total area,Area in square miles - Water area,Area in square miles - Land area,Density per square mile of land area - Population,Density per square mile of land area - Housing units
0400000US24,24,Maryland,0400000US24,24,Maryland,Maryland,5773552(r42264),2378814(r18611),12405.93,2698.69,9707.24,594.8,245.1
0400000US24,24,Maryland,1600000US2400125,2400125,"Maryland - PLACE - Aberdeen city, Harford County","Aberdeen city, Harford County",14959,6191,6.80,0.01,6.80,2201.4,911.1
0400000US24,24,Maryland,1600000US2400175,2400175,"Maryland - PLACE - Aberdeen Proving Ground CDP, Harford County","Aberdeen Proving Ground CDP, Harford County",2093,754,11.91,0.80,11.11,188.5,67.9
0400000US24,24,Maryland,1600000US2400225,2400225,"Maryland - PLACE - Accident town, Garrett County","Accident town, Garrett County",325,173,0.49,0.00,0.49,662.6,352.7
0400000US24,24,Maryland,1600000US2400250,2400250,"Maryland - PLACE - Accokeek CDP, Prince George's County","Accokeek CDP, Prince George's County",10573,3816,28.80,1.37,27.43,385.5,139.1
0400000US24,24,Maryland,1600000US2400350,2400350,"Maryland - PLACE - Adamstown CDP, Frederick County","Adamstown CDP, Frederick County",2372,722,3.29,0.00,3.29,721.3,219.5
0400000US24,24,Maryland,1600000US2400400,2400400,"Maryland - PLACE - Adelphi CDP, Prince George's County","Adelphi CDP, Prince George's County",15086,5526,2.74,0.00,2.74,5508.2,2017.6
0400000US24,24,Maryland,1600000US2400712,2400712,"Maryland - PLACE - Algonquin CDP, Dorchester County","Algonquin CDP, Dorchester County",1241,618,2.84,2.09,0.74,1673.3,833.3
0400000US24,24,Maryland,1600000US2400800,2400800,"Maryland - PLACE - Allen CDP, Wicomico County","Allen CDP, Wicomico County",210,82,0.36,0.01,0.35,596.8,233.0
0400000US24,24,Maryland,1600000US2401450,2401450,"Maryland - PLACE - Andrews AFB CDP, Prince George's County","Andrews AFB CDP, Prince George's County",2973,1385,6.95,0.04,6.92,429.7,200.2
0400000US24,24,Maryland,1600000US2401600,2401600,"Maryland - PLACE - Annapolis city, Anne Arundel County","Annapolis city, Anne Arundel County",38394,17845,8.11,0.92,7.18,5344.1,2483.9
0400000US24,24,Maryland,1600000US2401635,2401635,"Maryland - PLACE - Annapolis Neck CDP, Anne Arundel County","Annapolis Neck CDP, Anne Arundel County",10950,4857,11.40,4.46,6.95,1576.4,699.2
0400000US24,24,Maryland,1600000US2401750,2401750,"Maryland - PLACE - Antietam CDP, Washington County","Antietam CDP, Washington County",89,47,0.15,0.00,0.15,580.0,306.3
0400000US24,24,Maryland,1600000US2401925,2401925,"Maryland - PLACE - Aquasco CDP, Prince George's County","Aquasco CDP, Prince George's County",981,424,22.12,2.33,19.79,49.6,21.4
0400000US24,24,Maryland,1600000US2401975,2401975,"Maryland - PLACE - Arbutus CDP, Baltimore County","Arbutus CDP, Baltimore County",20483(r44981),8563(r21549),6.53,0.00,6.52,3139.9,1312.7
0400000US24,24,Maryland,1600000US2402025,2402025,"Maryland - PLACE - Arden on the Severn CDP, Anne Arundel County","Arden on the Severn CDP, Anne Arundel County",1953,782,1.64,0.21,1.43,1367.1,547.4
0400000US24,24,Maryland,1600000US2402275,2402275,"Maryland - PLACE - Arnold CDP, Anne Arundel County","Arnold CDP, Anne Arundel County",23106,8766,13.55,2.73,10.82,2135.9,810.3
0400000US24,24,Maryland,1600000US2402762,2402762,"Maryland - PLACE - Ashton-Sandy Spring CDP, Montgomery County","Ashton-Sandy Spring CDP, Montgomery County",5628,1936,10.37,0.10,10.27,548.0,188.5
0400000US24,24,Maryland,1600000US2402825,2402825,"Maryland - PLACE - Aspen Hill CDP, Montgomery County","Aspen Hill CDP, Montgomery County",48759,17339,9.70,0.08,9.62,5070.4,1803.1
0400000US24,24,Maryland,1600000US2403500,2403500,"Maryland - PLACE - Baden CDP, Prince George's County","Baden CDP, Prince George's County",2128,811,28.52,0.85,27.67,76.9,29.3
0400000US24,24,Maryland,1600000US2403514,2403514,"Maryland - PLACE - Bagtown CDP, Washington County","Bagtown CDP, Washington County",333,133,0.55,0.00,0.55,610.3,243.7
0400000US24,24,Maryland,1600000US2403575,2403575,"Maryland - PLACE - Bakersville CDP, Washington County","Bakersville CDP, Washington County",30,13,0.05,0.00,0.05,590.4,255.9
0400000US24,24,Maryland,1600000US2403800,2403800,"Maryland - PLACE - Ballenger Creek CDP, Frederick County","Ballenger Creek CDP, Frederick County",18274,7372,10.83,0.02,10.82,1689.2,681.4
0400000US24,24,Maryland,1600000US2404000,2404000,Maryland - PLACE - Baltimore city,Baltimore city,620961(r44982),296685(r21550),92.05,11.11,80.94,7671.5,3665.3
0400000US24,24,Maryland,1600000US2404050,2404050,"Maryland - PLACE - Baltimore Highlands CDP, Baltimore County","Baltimore Highlands CDP, Baltimore County",7019,2708,1.82,0.09,1.73,4056.5,1565.0
0400000US24,24,Maryland,1600000US2404250,2404250,"Maryland - PLACE - Barclay town, Queen Anne's County","Barclay town, Queen Anne's County",120,57,0.16,0.00,0.16,769.0,365.3
0400000US24,24,Maryland,1600000US2404475,2404475,"Maryland - PLACE - Barnesville town, Montgomery County","Barnesville town, Montgomery County",172,71,0.49,0.00,0.49,351.8,145.2
0400000US24,24,Maryland,1600000US2404525,2404525,"Maryland - PLACE - Barrelville CDP, Allegany County","Barrelville CDP, Allegany County",73,28,0.04,0.00,0.04,1662.2,637.5
0400000US24,24,Maryland,1600000US2404625,2404625,"Maryland - PLACE - Barton town, Allegany County","Barton town, Allegany County",457,225,0.23,0.00,0.22,2068.5,1018.4
0400000US24,24,Maryland,1600000US2404650,2404650,"Maryland - PLACE - Bartonsville CDP, Frederick County","Bartonsville CDP, Frederick County",1451,528,2.64,0.03,2.61,555.6,202.2
0400000US24,24,Maryland,1600000US2405250,2405250,"Maryland - PLACE - Beaver Creek CDP, Washington County","Beaver Creek CDP, Washington County",251,107,0.65,0.00,0.65,385.0,164.1
0400000US24,24,Maryland,1600000US2405525,2405525,"Maryland - PLACE - Bel Air CDP, Allegany County","Bel Air CDP, Allegany County",1258,568,0.46,0.00,0.46,2763.7,1247.8
0400000US24,24,Maryland,1600000US2405550,2405550,"Maryland - PLACE - Bel Air town, Harford County","Bel Air town, Harford County",10120,4744,2.94,0.01,2.93,3450.4,1617.4
0400000US24,24,Maryland,1600000US2405825,2405825,"Maryland - PLACE - Bel Air North CDP, Harford County","Bel Air North CDP, Harford County",30568,10985,16.13,0.08,16.06,1903.5,684.0
0400000US24,24,Maryland,1600000US2405950,2405950,"Maryland - PLACE - Bel Air South CDP, Harford County","Bel Air South CDP, Harford County",47709,18795,15.74,0.07,15.67,3045.3,1199.7
0400000US24,24,Maryland,1600000US2406400,2406400,"Maryland - PLACE - Beltsville CDP, Prince George's County","Beltsville CDP, Prince George's County",16772,5921,7.19,0.03,7.16,2342.0,826.8
0400000US24,24,Maryland,1600000US2406550,2406550,"Maryland - PLACE - Benedict CDP, Charles County","Benedict CDP, Charles County",261,142,0.23,0.00,0.23,1117.8,608.2
0400000US24,24,Maryland,1600000US2406615,2406615,"Maryland - PLACE - Bensville CDP, Charles County","Bensville CDP, Charles County",11923,4002,16.90,0.00,16.89,705.7,236.9
0400000US24,24,Maryland,1600000US2406800,2406800,"Maryland - PLACE - Berlin town, Worcester County","Berlin town, Worcester County",4485,1953,3.15,0.00,3.15,1422.2,619.3
0400000US24,24,Maryland,1600000US2406925,2406925,"Maryland - PLACE - Berwyn Heights town, Prince George's County","Berwyn Heights town, Prince George's County",3123,1051,0.69,0.00,0.69,4535.4,1526.3
0400000US24,24,Maryland,1600000US2407125,2407125,"Maryland - PLACE - Bethesda CDP, Montgomery County","Bethesda CDP, Montgomery County",60858,27470,13.36,0.08,13.29,4579.7,2067.2
0400000US24,24,Maryland,1600000US2407200,2407200,"Maryland - PLACE - Betterton town, Kent County","Betterton town, Kent County",345,317,1.00,0.01,0.99,348.5,320.2
0400000US24,24,Maryland,1600000US2407285,2407285,"Maryland - PLACE - Bier CDP, Allegany County","Bier CDP, Allegany County",173,88,1.46,0.00,1.46,118.7,60.4
0400000US24,24,Maryland,1600000US2407375,2407375,"Maryland - PLACE - Big Pool CDP, Washington County","Big Pool CDP, Washington County",82,31,0.11,0.00,0.11,768.1,290.4
